x,y,label
-863.1423077842002,-77.39952056671842,1
652.244528416655,18.509404115101574,Other
-723.5675604827876,-41.168175657923456,1
842.4144495601728,-122.19219673494341,Other
677.784525911767,104.82466196501707,Other
1338.8984509605777,20.729350369422278,Other
-518.9772933292967,-16.57342763841454,1
1342.1385654561545,-231.1482700055984,Other
-631.2101936674543,-35.82481722116676,1
-554.7642704495922,-9.017131455011802,1
-710.8782248952135,-54.05302173728212,1
-496.1553891987269,-3.006708204160435,1
710.4537911042547,4.611699016859501,Other
1222.212524304531,-27.803585621466087,Other
388.5043377847365,45.54736514334505,Other
897.0274270790962,-15.172052511056297,Other
-493.647932579957,3.9309706240239626,1
461.21781216628557,67.93643511305594,Other
1002.148504619298,-7.998199968180831,Other
946.8658579311723,120.57415109578972,Other
-597.2254139066797,-25.310299771789868,1
410.04975592483277,2.8641318972829497,Other
845.9471416340363,119.00099679524551,Other
-636.0462558586821,-17.04360021434206,1
539.3990893771489,70.83058340827746,Other
-497.8676452459448,-28.827235276085027,1
641.4979257530453,219.95620029454648,Other
2296.479988383401,-203.09928103637256,Other
-622.2145362259756,-14.274316865595615,1
821.2108998864404,-47.14966994165545,Other
1160.1425737041382,-293.91754363739255,Other
-776.0886039540316,-59.07337811404713,1
1078.0479395447478,-141.25033881817507,Other
-523.1634568042626,0.8733328162750446,1
-490.8795291842772,-8.460320040721957,1
2127.0180931289337,100.28766870237445,Other
-520.4291766002741,1.643249583985054,1
1726.0947626575812,-64.80927334506065,Other
652.5821051266249,55.345268039244985,Other
-745.0221205013278,-57.431691330665195,1
-550.8155363984235,-27.39891107054547,1
790.6213915469884,111.27201099143092,Other
2366.700707611162,739.620918007658,Other
-520.8085196022856,2.302135137349445,1
838.2360335394155,-15.474407770644092,Other
424.36112828037756,-109.22029973153343,Other
606.8243265597952,191.92337035603828,Other
363.60715841569726,-76.6893691810772,Other
-613.8294426723074,-36.08727272272438,1
-708.6523660711412,-46.309969761560325,1
-790.3132418220581,-79.81649145669908,1
-611.0931152467034,-30.54316948481774,1
446.2026756731017,1.224992074464048,Other
854.6137988360956,-25.184530650140836,Other
535.8523047873846,197.97587501559252,Other
-623.0764928227629,-14.523247389089452,1
-775.0549461651597,-39.079412697991216,1
-605.0352978796901,-36.95291377646774,1
-745.6008079689058,-56.16454295227332,1
-592.3004762532133,-28.600919738706192,1
-724.6625829953198,-42.22810515325519,1
-537.1739759434419,4.071926861792412,1
1269.1224431936498,15.63018184340022,Other
-506.41489340111923,-9.527172321335293,1
-701.7313486533492,-67.73170087810756,1
-473.7575375009805,-37.67429167676183,1
-502.72108276645366,0.1577941459444777,1
634.5143351580108,167.2054357363906,Other
-683.5839523267604,-32.57612601586495,1
946.2959464553564,81.05050905999613,Other
939.3997207932623,285.85296420568903,Other
-524.6600562154314,-6.280799591255268,1
525.706887795711,73.27576144273011,Other
719.9063801076202,149.65220843841038,Other
-704.9670336773061,-31.30124480543552,1
453.67808881432677,77.39995467565655,Other
-611.7500008258816,-43.85212648840697,1
1482.6088555027643,307.41711401920963,Other
-562.0950015274667,9.808525488642772,1
646.0462246717887,-9.448464861418918,Other
-620.872171322082,-56.00227675066421,1
1356.4599399015117,30.99942454570246,Other
-524.4292475705523,-11.803778721815311,1
-518.0118630815857,-1.5308547244237514,1
402.2178698307658,-93.71470143243116,Other
314.50175618001873,47.55352518489616,Other
412.94292285312633,42.59297969347212,Other
-585.7551316163451,-26.661185024466747,1
2304.217592991744,-117.53510923306025,Other
2166.1851650417743,-108.4226150411609,Other
1124.8581153057103,34.129224970157026,Other
-652.2748059610531,-34.63870445686574,1
-658.2074596830209,-22.91607621978827,1
-502.2935649188512,-33.534324167359195,1
-771.5276218767497,-88.64310636345324,1
-482.50022567367154,3.970648387193556,1
2828.241438727744,151.2485684356537,Other
1604.7984048131104,328.6675700099647,Other
1273.7306565898764,-479.32141873753517,Other
-505.808135046794,-1.3589690744259815,1
-698.4528161332669,-29.991105075797357,1
987.0231110934169,126.6299885485663,Other
379.6023865196631,-38.20142278469064,Other
-555.4062102978911,-12.222872729045886,1
-672.3767040120719,-44.882462407816774,1
509.67967263921014,35.90133597117135,Other
2404.9422901090975,-412.3091426120433,Other
-604.8229707900958,-1.9407421451919873,1
-482.14902699966717,-17.043362658161577,1
997.0514718261718,141.2159699945376,Other
-646.30885449806,-58.213062072388546,1
3867.1780530834826,-171.01743974416118,Other
-744.0918348203467,-54.300827467947066,1
2584.8281423407743,-671.5322625684614,Other
-492.11867583324505,-1.0894672287910212,1
-488.80488178835094,-49.73863718446045,1
-497.8615131285466,-32.0077974552424,1
-662.8705125024254,-38.72301745925139,1
1102.1770929451939,78.98759046638652,Other
-647.0164312259263,-47.125425719957775,1
815.3241590523209,72.1538643393869,Other
-478.89999582660863,-5.782675266322139,1
-532.8415854308616,-28.434757015242848,1
-693.9616993308929,-41.22118759129456,1
404.3859342192012,-67.07954492366305,Other
-603.4441352372022,-47.20851629826913,1
284.94813213521417,-62.3920145159332,Other
1873.733116004882,-260.19605533302,Other
1586.1282923594138,8.9482589477516,Other
-538.1164417147545,-21.06841632086863,1
1045.0188544396442,77.05758852133015,Other
1188.5326991475804,-74.67443443447914,Other
-479.3357068859721,-4.3778734895497555,1
1615.093452592812,-270.33335105734346,Other
385.44959125734874,-47.383326204517815,Other
1201.4375791286614,-126.87795668487853,Other
930.3411801543016,189.3407415780382,Other
-544.4131556407203,-46.5431551785619,1
-600.5741323290255,-12.331472810930956,1
811.3900045303529,-77.41738010023133,Other
576.2095875976405,45.16639618285108,Other
-514.6765634401734,6.927028097841556,1
731.3671966675387,22.00025614701218,Other
-687.2231991566648,-57.795967505064816,1
576.3603078504779,95.45172422415362,Other
973.8915505994006,-24.588466668832314,Other
-635.0640424502503,-48.23460299770843,1
273.6382714478326,178.22700539380625,Other
832.6097733851402,-19.683788956562974,Other
-486.6485950294654,-19.861394949352185,1
-620.5612042917486,-48.093794289422476,1
1010.0107137458216,83.91113586609768,Other
648.8111183691628,-9.678224988120942,Other
524.9452025118677,-31.227626601502717,Other
1376.392312110849,-65.75980251103009,Other
903.9812789509609,-38.91018766131953,Other
1418.9768840819195,20.357178880665792,Other
-487.582337858882,-15.619326187953835,1
980.5214691150434,85.49752423541472,Other
304.6878180615427,-17.72505983739292,Other
1839.3688857048407,91.28889734073788,Other
-491.1508939293143,-17.225724244346676,1
-563.8450420493369,-16.18673539688587,1
885.9992730856384,91.83357476015092,Other
-555.7488397526522,-58.67936161286798,1
-617.1943848015303,-53.22721108744188,1
803.7161116078015,-162.09869022306324,Other
-582.3541502985682,-38.2153073428158,1
457.6872588859162,-171.34284019713107,Other
433.28477089249594,62.77798687419409,Other
-502.15857163585935,-8.767657527955839,1
1194.0117341257487,53.17521251508323,Other
-713.2699224318408,-48.44546089489587,1
617.2429672389706,-54.54308163002196,Other
828.5811984980518,-180.66786869609922,Other
